iter	RMSE
1005	258237.5593
1006	258165.852
1007	258140.0258
1008	258115.1747
1009	258101.8946
1010	258051.2392
1011	258035.2201
1012	258018.3465
1013	257986.2956
1014	257968.7023
1015	257951.0862
1016	257877.7526
1017	257854.4713
1018	257830.3878
1019	257810.6867
1020	257760.9313
1021	257733.2594
1022	257708.9929
1023	257682.9251
1024	257658.3525
1025	257638.5304
1026	257582.9221
1027	257566.3425
1028	257542.3964
1029	257530.5648
1030	257508.4566
1031	257456.479
1032	257437.3471
1033	257417.2874
1034	257397.129
1035	257365.8616
1036	257305.7883
1037	257290.2067
1038	257275.4878
1039	257262.4388
1040	257239.9107
1041	257217.1639
1042	257194.6544
1043	257177.3742
1044	257149.6405
1045	257125.8088
1046	257085.3115
1047	257072.8527
1048	257048.9447
1049	256974.5416
1050	256952.8831
1051	256897.1246
1052	256841.8822
1053	256815.5774
1054	256785.2503
1055	256769.2381
1056	256750.4169
1057	256681.0785
1058	256658.4596
1059	256622.0159
1060	256609.7608
1061	256562.5826
1062	256526.0113
1063	256473.4669
1064	256393.5999
1065	256347.1922
1066	256324.4176
1067	256288.0118
1068	256256.7163
1069	256243.0236
1070	256218.1901
1071	256195.6894
1072	256181.3785
1073	256177.8266
1074	256174.2329
1075	256146.7802
1076	256110.4071
1077	256089.2017
1078	256025.6624
1079	255989.9903
1080	255961.979
1081	255946.4108
1082	255918.0878
1083	255903.3767
1084	255891.2364
1085	255875.2888
1086	255840.6513
1087	255825.4761
1088	255817.0107
1089	255796.691
1090	255769.4532
1091	255751.479
1092	255724.5145
1093	255672.4523
1094	255614.7856
1095	255598.799
1096	255575.5481
1097	255556.4986
1098	255527.3993
1099	255488.2043
1100	255444.6184
1101	255387.8278
1102	255360.3725
1103	255344.0965
1104	255293.9145
1105	255280.6479
1106	255265.8369
1107	255244.3098
1108	255225.9967
1109	255203.5394
1110	255188.3177
1111	255167.8838
1112	255134.8158
1113	255124.0583
1114	255069.9203
1115	255058.3892
1116	255037.2194
1117	255016.5322
1118	254989.5843
1119	254928.4582
1120	254903.9713
1121	254869.5246
1122	254810.4263
1123	254786.0674
1124	254754.2021
1125	254720.4367
1126	254676.7861
1127	254650.5564
1128	254613.0984
1129	254588.7911
1130	254567.8327
1131	254555.8493
1132	254521.6575
1133	254478.6096
1134	254458.8491
1135	254427.2005
1136	254402.4515
1137	254381.6935
1138	254351.4606
1139	254308.5188
1140	254282.2214
1141	254245.2644
1142	254220.5796
1143	254178.5048
1144	254148.1141
1145	254114.9097
1146	254080.9291
1147	254023.0798
1148	253966.2114
1149	253963.1875
1150	253906.7554
1151	253886.1733
1152	253854.5491
1153	253836.7286
1154	253781.2272
1155	253726.6592
1156	253711.4949
1157	253697.6131
1158	253669.4998
1159	253618.9291
1160	253589.6747
1161	253536.2001
1162	253495.7734
1163	253473.6176
1164	253456.3002
1165	253453.3758
1166	253427.3025
1167	253382.5123
1168	253324.4291
1169	253296.7641
1170	253240.4955
1171	253227.247
1172	253190.0846
1173	253164.7674
1174	253115.3053
1175	253064.7648
1176	253053.845
1177	253028.7027
1178	252980.8
1179	252961.6424
1180	252926.7336
1181	252901.3868
1182	252867.0296
1183	252828.4885
1184	252770.912
1185	252745.3472
1186	252698.575
1187	252671.9394
1188	252646.8461
1189	252620.6871
1190	252581.3227
1191	252552.0987
1192	252518.4611
1193	252485.8845
1194	252441.9029
1195	252387.3793
1196	252362.3644
1197	252341.95
1198	252288.3033
1199	252268.4773
1200	252246.4752
1201	252221.0459
1202	252196.3632
1203	252149.042
1204	252146.2006
1205	252121.6791
1206	252112.7036
1207	252074.6961
1208	252049.0246
1209	252046.4372
1210	252014.3477
1211	251980.0504
1212	251947.637
1213	251921.9769
1214	251898.5287
1215	251874.3157
1216	251836.1186
1217	251814.4847
1218	251793.1252
1219	251740.7957
1220	251696.5923
1221	251674.8971
1222	251623.4121
1223	251569.7151
1224	251545.5739
1225	251530.1713
1226	251502.037
1227	251493.7784
1228	251476.7319
1229	251430.9617
1230	251398.8059
1231	251371.1713
1232	251348.7904
1233	251324.7105
1234	251300.011
1235	251282.772
1236	251243.2202
1237	251235.4375
1238	251209.4759
1239	251188.1152
1240	251163.4824
1241	251141.1252
1242	251117.5665
1243	251073.4359
1244	251049.6494
1245	251021.2675
1246	250970.9608
1247	250948.7954
1248	250892.6582
1249	250838.0343
1250	250813.9255
1251	250811.5129
1252	250792.918
1253	250754.9807
1254	250707.5541
1255	250705.1172
1256	250685.8452
1257	250662.1908
1258	250645.1111
1259	250621.3507
1260	250618.9627
1261	250595.4571
1262	250570.4088
1263	250546.9296
1264	250510.5785
1265	250495.1203
1266	250471.7722
1267	250452.3459
1268	250414.6724
1269	250381.7995
1270	250345.2154
1271	250324.9259
1272	250307.1423
1273	250285.9138
1274	250264.7327
1275	250232.391
1276	250209.3289
1277	250186.2441
1278	250163.9212
1279	250135.9761
1280	250110.796
1281	250085.2833
1282	250074.7419
1283	250050.0237
1284	250024.2724
1285	249997.1165
1286	249994.8999
1287	249986.7924
1288	249959.9624
1289	249936.0972
1290	249933.8873
1291	249931.7051
1292	249929.5098
1293	249906.7906
1294	249893.4429
1295	249870.9408
1296	249848.6445
1297	249831.4256
1298	249815.9232
1299	249803.8054
1300	249780.9476
1301	249750.3317
1302	249748.2705
1303	249728.6268
1304	249706.0484
1305	249682.498
1306	249656.2542
1307	249632.8942
1308	249630.6432
1309	249628.5713
1310	249602.7013
1311	249584.8781
1312	249537.2545
1313	249530.3466
1314	249505.7041
